year,month,areaname,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary
2011,January,Boundary County,No,4677,3888,789,16.8,No
2011,January,Boundary County,Yes,4600,4022,577,12.5,No
2005,January,Butte County,No,1282,1194,88,6.8,No
2005,January,Butte County,Yes,1300,1235,64,4.9,No
2006,January,Butte County,No,1426,1370,56,3.9,No
2006,January,Butte County,Yes,1456,1415,41,2.8,No
2007,January,Butte County,No,1352,1305,47,3.4,No
2007,January,Butte County,Yes,1381,1345,35,2.6,No
2008,January,Butte County,No,1383,1323,60,4.3,No
2008,January,Butte County,Yes,1409,1362,46,3.3,No
2009,January,Butte County,No,1421,1343,78,5.4,No
2009,January,Butte County,Yes,1444,1382,62,4.3,No
2010,January,Butte County,No,1450,1350,100,6.8,No
2010,January,Butte County,Yes,1478,1391,87,5.9,No
2010,January,Butte County,Yes,1505,1412,93,6.2,No
2011,January,Butte County,No,1492,1380,112,7.5,No
2011,January,Butte County,Yes,1509,1419,90,5.9,No
2005,January,Camas County,No,615,582,33,5.3,No
2005,January,Camas County,Yes,604,581,22,3.7,No
2006,January,Camas County,No,644,615,29,4.5,No
2006,January,Camas County,Yes,633,613,20,3.1,No
2007,January,Camas County,No,620,601,19,3,No
2007,January,Camas County,Yes,612,599,13,2.1,No
2008,January,Camas County,No,643,615,28,4.3,No
2008,January,Camas County,Yes,635,614,20,3.1,No
2009,January,Camas County,No,625,568,57,9.1,No
2009,January,Camas County,Yes,611,569,41,6.7,No
2010,January,Camas County,No,614,538,76,12.3,No
2010,January,Camas County,Yes,602,541,60,10,No
2010,January,Camas County,Yes,598,530,67,11.2,No
2011,January,Camas County,No,588,525,63,10.7,No
2011,January,Camas County,Yes,573,527,46,8,No
2005,January,Canyon County,No,76695,72242,4453,5.8,No
2005,January,Canyon County,Yes,76021,72554,3467,4.5,No
2006,January,Canyon County,No,80517,76583,3934,4.8,No
2006,January,Canyon County,Yes,79907,76880,3027,3.7,No
2007,January,Canyon County,No,83642,79923,3719,4.4,No
2007,January,Canyon County,Yes,83047,80205,2841,3.4,No
2008,January,Canyon County,No,84781,79826,4955,5.8,No
2008,January,Canyon County,Yes,83885,80090,3795,4.5,No
2009,January,Canyon County,No,85840,77162,8678,10.1,No
2009,January,Canyon County,Yes,84073,77402,6670,7.9,No
2010,January,Canyon County,No,84779,74643,10136,11.9,No
2010,January,Canyon County,Yes,83490,75001,8489,10.1,No
2010,January,Canyon County,Yes,85057,75938,9119,10.7,No
2011,January,Canyon County,No,86406,75821,10585,12.2,No
2011,January,Canyon County,Yes,84216,76046,8169,9.7,No
