year,month,area,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary,fips,longitude,latitude,id
2011,August,Boundary County,No,5075,4472,603,11.8,No,16021,-116.56271,48.79876,2011-August-Boundary County
2011,August,Butte County,Yes,1491,1381,110,7.3,No,16023,-113.18414,43.64482,2011-August-Butte County
2011,August,Butte County,No,1523,1421,102,6.6,No,16023,-113.18414,43.64482,2011-August-Butte County
2011,August,Caldwell,Yes,19925,17223,2701,13.5,No,,,,2011-August-Caldwell
2011,August,Caldwell,No,19779,17229,2550,12.8,No,,,,2011-August-Caldwell
2011,August,Camas County,Yes,601,501,100,16.7,No,16025,-114.82437,43.50937,2011-August-Camas County
2011,August,Camas County,No,619,530,89,14.3,No,16025,-114.82437,43.50937,2011-August-Camas County
2011,August,Canyon County,Yes,86502,76257,10245,11.8,No,16027,-116.68654,43.67796,2011-August-Canyon County
2011,August,Canyon County,No,86250,76535,9715,11.2,No,16027,-116.68654,43.67796,2011-August-Canyon County
2011,August,Caribou County,Yes,3882,3571,311,8,No,16029,-111.66607,42.75387,2011-August-Caribou County
2011,August,Caribou County,No,3875,3599,276,7.1,No,16029,-111.66607,42.75387,2011-August-Caribou County
2011,August,Cassia County,No,11447,10666,781,6.8,No,16031,-113.57285,42.35804,2011-August-Cassia County
2011,August,Cassia County,Yes,11271,10499,772,6.8,No,16031,-113.57285,42.35804,2011-August-Cassia County
2011,August,Clark County,Yes,540,485,54,10.1,No,16033,-112.37555,44.19756,2011-August-Clark County
2011,August,Clark County,No,569,526,43,7.5,No,16033,-112.37555,44.19756,2011-August-Clark County
2011,August,Clearwater County,Yes,3223,2695,527,16.3,No,16035,-115.56204,46.67757,2011-August-Clearwater County
2011,August,Clearwater County,No,3246,2818,428,13.1,No,16035,-115.56204,46.67757,2011-August-Clearwater County
2011,August,Coeur D 'Alene,Yes,22216,19692,2523,11.3,No,,,,2011-August-Coeur D 'Alene
2011,August,Coeur D 'Alene,No,22353,20209,2144,9.5,No,,,,2011-August-Coeur D 'Alene
2011,August,Custer County,Yes,2463,2260,202,8.2,No,16037,-114.26143,44.33319,2011-August-Custer County
2011,August,Custer County,No,2777,2619,158,5.6,No,16037,-114.26143,44.33319,2011-August-Custer County
2011,August,Elmore County,Yes,11334,10248,1086,9.5,No,16039,-115.52645,43.11543,2011-August-Elmore County
2011,August,Elmore County,No,11524,10480,1044,9,No,16039,-115.52645,43.11543,2011-August-Elmore County
2011,August,Franklin County,Yes,6161,5790,371,6,No,16041,-111.76147,42.21003,2011-August-Franklin County
2011,August,Franklin County,No,6007,5651,356,5.9,No,16041,-111.76147,42.21003,2011-August-Franklin County
2011,August,Fremont County,Yes,5483,4996,487,8.8,No,16043,-111.479,44.22427,2011-August-Fremont County
2011,August,Fremont County,No,5234,4815,419,8,No,16043,-111.479,44.22427,2011-August-Fremont County
2011,August,Gem County,Yes,7064,6203,860,12.1,No,16045,-116.35892,44.03249,2011-August-Gem County
2011,August,Gem County,No,7014,6241,773,11,No,16045,-116.35892,44.03249,2011-August-Gem County
2011,August,Gooding County,Yes,9050,8413,636,7,No,16047,-114.74943,42.91806,2011-August-Gooding County
2011,August,Gooding County,No,9013,8451,562,6.2,No,16047,-114.74943,42.91806,2011-August-Gooding County
2011,August,Grangeville Slma,Yes,9062,8075,986,10.8,No,,,,2011-August-Grangeville Slma
2011,August,Grangeville Slma,No,9413,8550,863,9.1,No,,,,2011-August-Grangeville Slma
2011,August,Hailey Slma,Yes,13173,11983,1190,9,No,,,,2011-August-Hailey Slma
2011,August,Hailey Slma,No,13733,12645,1088,7.9,No,,,,2011-August-Hailey Slma
2011,August,Idaho,Yes,758856,688858,69998,9.2,No,,,,2011-August-Idaho
2011,August,Idaho,No,762635,696539,66096,8.6,No,,,,2011-August-Idaho
2011,August,Idaho County,Yes,7307,6430,877,12,No,16049,-115.72374,45.90195,2011-August-Idaho County
2011,August,Idaho County,No,7566,6810,756,9.9,No,16049,-115.72374,45.90195,2011-August-Idaho County
2011,August,Jefferson County,Yes,11416,10598,817,7.1,No,16051,-112.24937,43.76409,2011-August-Jefferson County
